REF_AREA,Reference area,MEASURE,Measure,EROSION_LEVEL,Erosion risk level,WATER_TYPE,Water type,NUTRIENTS,Nutrients,UNIT_MEASURE,Unit of measure,TIME_PERIOD,OBS_VALUE,OBS_STATUS,Observation status,UNIT_MULT,BASE_PER
AUT,Austria,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2013,1492.8,A,Normal value,0,NULL
AUT,Austria,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2014,1641.06,A,Normal value,0,NULL
AUT,Austria,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2015,2130.97,A,Normal value,0,NULL
AUT,Austria,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2016,2006.54,A,Normal value,0,NULL
AUT,Austria,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2017,1991.64,A,Normal value,0,NULL
AUT,Austria,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2018,2268.66,A,Normal value,0,NULL
AUT,Austria,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2019,2068.06,A,Normal value,0,NULL
AUT,Austria,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2020,1931.28,A,Normal value,0,NULL
AUT,Austria,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2021,2004.63,A,Normal value,0,NULL
BEL,Belgium,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2012,2724.8,A,Normal value,0,NULL
BEL,Belgium,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2013,2519.86,A,Normal value,0,NULL
BEL,Belgium,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2014,3131.35,A,Normal value,0,NULL
BEL,Belgium,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2015,2611.18,A,Normal value,0,NULL
BEL,Belgium,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2016,2856.23,A,Normal value,0,NULL
BEL,Belgium,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2017,2495.88,A,Normal value,0,NULL
BEL,Belgium,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2018,2457.62,A,Normal value,0,NULL
BEL,Belgium,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2019,2449.42,A,Normal value,0,NULL
BEL,Belgium,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2020,2203.24,A,Normal value,0,NULL
BEL,Belgium,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2021,1999,A,Normal value,0,NULL
CAN,Canada,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2012,7549,A,Normal value,0,NULL
CAN,Canada,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2013,9055,A,Normal value,0,NULL
CAN,Canada,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2014,9316,A,Normal value,0,NULL
CAN,Canada,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2015,8545,A,Normal value,0,NULL
CAN,Canada,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2016,9083,A,Normal value,0,NULL
CAN,Canada,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2017,9692,A,Normal value,0,NULL
CAN,Canada,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2018,13557,A,Normal value,0,NULL
CAN,Canada,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2019,7888,A,Normal value,0,NULL
CAN,Canada,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2020,7952,A,Normal value,0,NULL
CAN,Canada,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2021,12474,A,Normal value,0,NULL
CHL,Chile,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2012,18270.19,A,Normal value,0,NULL
CHL,Chile,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2013,16357.65,A,Normal value,0,NULL
CZE,Czechia,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2012,1410.02,A,Normal value,0,NULL
CZE,Czechia,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2013,1661.56,A,Normal value,0,NULL
CZE,Czechia,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2014,1782.19,A,Normal value,0,NULL
CZE,Czechia,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2015,2109.34,A,Normal value,0,NULL
CZE,Czechia,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2016,1785.21,A,Normal value,0,NULL
CZE,Czechia,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2017,1853.68,A,Normal value,0,NULL
CZE,Czechia,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2018,1755.14,A,Normal value,0,NULL
CZE,Czechia,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2019,1650.88,A,Normal value,0,NULL
CZE,Czechia,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2020,1544.88,A,Normal value,0,NULL
CZE,Czechia,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2021,1511.48,A,Normal value,0,NULL
DNK,Denmark,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2012,890.57,A,Normal value,0,NULL
DNK,Denmark,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2013,883.74,A,Normal value,0,NULL
DNK,Denmark,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2014,416.81,A,Normal value,0,NULL
DNK,Denmark,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2015,504.01,A,Normal value,0,NULL
DNK,Denmark,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2016,406.71,A,Normal value,0,NULL
DNK,Denmark,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2017,483.73,A,Normal value,0,NULL
DNK,Denmark,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2018,438.35,A,Normal value,0,NULL
DNK,Denmark,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2019,436.36,A,Normal value,0,NULL
DNK,Denmark,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2020,502.61,A,Normal value,0,NULL
DNK,Denmark,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2021,499.48,A,Normal value,0,NULL
EST,Estonia,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2012,60.03,A,Normal value,0,NULL
EST,Estonia,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2013,66.16,A,Normal value,0,NULL
EST,Estonia,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2014,88.23,A,Normal value,0,NULL
EST,Estonia,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2015,109.27,A,Normal value,0,NULL
EST,Estonia,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2016,104.39,A,Normal value,0,NULL
EST,Estonia,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2017,117.03,A,Normal value,0,NULL
EST,Estonia,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2018,106.54,A,Normal value,0,NULL
EST,Estonia,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2019,104.92,A,Normal value,0,NULL
EST,Estonia,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2021,149.72,A,Normal value,0,NULL
FIN,Finland,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2012,188.9,A,Normal value,0,NULL
FIN,Finland,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2013,209.57,A,Normal value,0,NULL
FIN,Finland,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2014,198.52,A,Normal value,0,NULL
FIN,Finland,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2015,224.68,A,Normal value,0,NULL
FIN,Finland,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2016,3212.36,A,Normal value,0,NULL
FIN,Finland,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2017,3227.75,A,Normal value,0,NULL
FIN,Finland,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2018,3814.41,A,Normal value,0,NULL
FIN,Finland,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2019,2831.86,A,Normal value,0,NULL
FIN,Finland,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2020,3698.3,A,Normal value,0,NULL
FIN,Finland,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2021,2938.3,A,Normal value,0,NULL
FRA,France,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2012,27580.73,A,Normal value,0,NULL
FRA,France,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2013,30376.03,A,Normal value,0,NULL
FRA,France,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2014,34441.87,A,Normal value,0,NULL
FRA,France,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2015,27373.71,A,Normal value,0,NULL
FRA,France,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2016,31971.2,A,Normal value,0,NULL
FRA,France,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2017,29786.23,A,Normal value,0,NULL
FRA,France,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2018,39064.72,A,Normal value,0,NULL
FRA,France,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2019,24483.51,A,Normal value,0,NULL
FRA,France,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2020,26001.47,A,Normal value,0,NULL
FRA,France,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2021,28550.53,A,Normal value,0,NULL
DEU,Germany,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2012,9062.33,A,Normal value,0,NULL
DEU,Germany,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2013,10506.88,A,Normal value,0,NULL
DEU,Germany,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2014,12919.6,A,Normal value,0,NULL
DEU,Germany,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2015,12817.36,A,Normal value,0,NULL
DEU,Germany,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2016,12140.89,A,Normal value,0,NULL
DEU,Germany,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2017,13266.13,A,Normal value,0,NULL
DEU,Germany,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2018,11681.85,A,Normal value,0,NULL
DEU,Germany,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2019,10217.44,A,Normal value,0,NULL
DEU,Germany,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2020,9504.73,A,Normal value,0,NULL
DEU,Germany,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2021,9692.8,A,Normal value,0,NULL
GRC,Greece,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2012,2006.72,A,Normal value,0,NULL
GRC,Greece,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2013,5520.83,A,Normal value,0,NULL
GRC,Greece,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2014,1866.38,A,Normal value,0,NULL
GRC,Greece,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2015,1926.97,A,Normal value,0,NULL
GRC,Greece,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2016,1803.57,A,Normal value,0,NULL
GRC,Greece,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2017,1685.87,A,Normal value,0,NULL
GRC,Greece,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2018,1728.71,A,Normal value,0,NULL
GRC,Greece,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2019,1755.82,A,Normal value,0,NULL
GRC,Greece,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2020,1801.71,A,Normal value,0,NULL
GRC,Greece,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2021,1651.41,A,Normal value,0,NULL
HUN,Hungary,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2012,3140.95,A,Normal value,0,NULL
HUN,Hungary,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2013,3238.48,A,Normal value,0,NULL
HUN,Hungary,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2014,3674.17,A,Normal value,0,NULL
HUN,Hungary,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2015,3867.89,A,Normal value,0,NULL
HUN,Hungary,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2016,3835.02,A,Normal value,0,NULL
HUN,Hungary,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2017,4170.52,A,Normal value,0,NULL
HUN,Hungary,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2018,3535.07,A,Normal value,0,NULL
HUN,Hungary,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2019,2796.08,A,Normal value,0,NULL
HUN,Hungary,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2020,3371.88,A,Normal value,0,NULL
HUN,Hungary,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2021,3510.1,A,Normal value,0,NULL
ISL,Iceland,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2012,0.05,A,Normal value,0,NULL
ISL,Iceland,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2013,0.21,A,Normal value,0,NULL
ISL,Iceland,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2014,0.36,A,Normal value,0,NULL
ISL,Iceland,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2015,0.31,A,Normal value,0,NULL
ISL,Iceland,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2016,0.45,A,Normal value,0,NULL
ISL,Iceland,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2017,0.31,A,Normal value,0,NULL
ISL,Iceland,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2018,0.28,A,Normal value,0,NULL
ISL,Iceland,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2019,0.21,A,Normal value,0,NULL
ISL,Iceland,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2020,0.15,A,Normal value,0,NULL
ISL,Iceland,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2021,0.65,A,Normal value,0,NULL
IRL,Ireland,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2012,650.16,A,Normal value,0,NULL
IRL,Ireland,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2013,594.1,A,Normal value,0,NULL
IRL,Ireland,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2014,635.51,A,Normal value,0,NULL
IRL,Ireland,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2015,687.73,A,Normal value,0,NULL
IRL,Ireland,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2016,596.57,A,Normal value,0,NULL
IRL,Ireland,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2017,633.47,A,Normal value,0,NULL
IRL,Ireland,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2018,602,A,Normal value,0,NULL
IRL,Ireland,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2019,922.28,A,Normal value,0,NULL
IRL,Ireland,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2020,440.43,A,Normal value,0,NULL
IRL,Ireland,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2021,422.18,A,Normal value,0,NULL
ISR,Israel,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2012,2033,A,Normal value,0,NULL
ISR,Israel,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2013,2107,A,Normal value,0,NULL
ISR,Israel,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2014,2678,A,Normal value,0,NULL
ISR,Israel,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2015,2816,A,Normal value,0,NULL
ISR,Israel,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2016,2787,A,Normal value,0,NULL
ISR,Israel,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2017,2911,A,Normal value,0,NULL
ISR,Israel,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2018,3035,A,Normal value,0,NULL
ISR,Israel,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2019,3234,A,Normal value,0,NULL
ITA,Italy,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2012,37358.12,A,Normal value,0,NULL
ITA,Italy,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2013,33302.89,A,Normal value,0,NULL
ITA,Italy,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2014,37226.29,A,Normal value,0,NULL
ITA,Italy,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2015,39186.67,A,Normal value,0,NULL
ITA,Italy,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2016,36851.94,A,Normal value,0,NULL
ITA,Italy,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2017,32686.89,A,Normal value,0,NULL
ITA,Italy,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2018,31538.59,A,Normal value,0,NULL
ITA,Italy,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2019,24285.68,A,Normal value,0,NULL
ITA,Italy,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2020,31644.12,A,Normal value,0,NULL
ITA,Italy,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2021,31113.65,A,Normal value,0,NULL
JPN,Japan,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2012,23527.6,A,Normal value,0,NULL
JPN,Japan,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2013,22825.1,A,Normal value,0,NULL
JPN,Japan,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2014,22699.8,A,Normal value,0,NULL
JPN,Japan,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2015,22855.8,A,Normal value,0,NULL
JPN,Japan,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2016,21235.4,A,Normal value,0,NULL
JPN,Japan,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2017,21700.21,A,Normal value,0,NULL
JPN,Japan,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2018,21460.96,A,Normal value,0,NULL
JPN,Japan,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2019,21844.5,A,Normal value,0,NULL
JPN,Japan,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2020,20071.3,A,Normal value,0,NULL
JPN,Japan,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2021,19725.6,A,Normal value,0,NULL
KOR,South Korea,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2012,5879,A,Normal value,0,NULL
KOR,South Korea,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2013,6325,A,Normal value,0,NULL
KOR,South Korea,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2014,5769,A,Normal value,0,NULL
KOR,South Korea,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2015,5913,A,Normal value,0,NULL
KOR,South Korea,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2016,5577,A,Normal value,0,NULL
KOR,South Korea,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2017,5889,A,Normal value,0,NULL
KOR,South Korea,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2018,5576,A,Normal value,0,NULL
KOR,South Korea,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2019,5146,A,Normal value,0,NULL
KOR,South Korea,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2020,5496,A,Normal value,0,NULL
LVA,Latvia,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2012,202.51,A,Normal value,0,NULL
LVA,Latvia,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2013,214.27,A,Normal value,0,NULL
LVA,Latvia,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2014,224.74,A,Normal value,0,NULL
LVA,Latvia,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2015,269.84,A,Normal value,0,NULL
LVA,Latvia,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2016,261.97,A,Normal value,0,NULL
LVA,Latvia,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2017,266.54,A,Normal value,0,NULL
LVA,Latvia,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2018,212.65,A,Normal value,0,NULL
LVA,Latvia,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2019,295.36,A,Normal value,0,NULL
LVA,Latvia,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2020,303.79,A,Normal value,0,NULL
LVA,Latvia,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2021,299.06,A,Normal value,0,NULL
LTU,Lithuania,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2012,485.44,A,Normal value,0,NULL
LTU,Lithuania,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2013,534.44,A,Normal value,0,NULL
LTU,Lithuania,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2014,601.2,A,Normal value,0,NULL
LTU,Lithuania,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2015,736.75,A,Normal value,0,NULL
LTU,Lithuania,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2016,741.17,A,Normal value,0,NULL
LTU,Lithuania,F_PEST,Sales of fungicides,N/A,N/A,N/A,N/A,N/A,N/A,T,Tonnes,2017,690.12,A,Normal value,0,NULL
