REF_AREA,Reference area,MEASURE,Measure,EROSION_LEVEL,Erosion risk level,WATER_TYPE,Water type,NUTRIENTS,Nutrients,UNIT_MEASURE,Unit of measure,TIME_PERIOD,OBS_VALUE,OBS_STATUS,Observation status,UNIT_MULT,BASE_PER
NOR,Norway,BRN,Nutrient removal by crop residues burned on the field,N/A,N/A,N/A,N/A,PHOSPHORUS,Phosphorus,T,Tonnes,2013,0,A,Normal value,0,NULL
NOR,Norway,BRN,Nutrient removal by crop residues burned on the field,N/A,N/A,N/A,N/A,PHOSPHORUS,Phosphorus,T,Tonnes,2014,0,A,Normal value,0,NULL
NOR,Norway,BRN,Nutrient removal by crop residues burned on the field,N/A,N/A,N/A,N/A,PHOSPHORUS,Phosphorus,T,Tonnes,2015,0,A,Normal value,0,NULL
NOR,Norway,BRN,Nutrient removal by crop residues burned on the field,N/A,N/A,N/A,N/A,PHOSPHORUS,Phosphorus,T,Tonnes,2016,0,A,Normal value,0,NULL
POL,Poland,BRN,Nutrient removal by crop residues burned on the field,N/A,N/A,N/A,N/A,PHOSPHORUS,Phosphorus,T,Tonnes,2012,0,A,Normal value,0,NULL
POL,Poland,BRN,Nutrient removal by crop residues burned on the field,N/A,N/A,N/A,N/A,PHOSPHORUS,Phosphorus,T,Tonnes,2013,0,A,Normal value,0,NULL
POL,Poland,BRN,Nutrient removal by crop residues burned on the field,N/A,N/A,N/A,N/A,PHOSPHORUS,Phosphorus,T,Tonnes,2014,0,A,Normal value,0,NULL
POL,Poland,BRN,Nutrient removal by crop residues burned on the field,N/A,N/A,N/A,N/A,PHOSPHORUS,Phosphorus,T,Tonnes,2015,0,A,Normal value,0,NULL
POL,Poland,BRN,Nutrient removal by crop residues burned on the field,N/A,N/A,N/A,N/A,PHOSPHORUS,Phosphorus,T,Tonnes,2016,0,A,Normal value,0,NULL
POL,Poland,BRN,Nutrient removal by crop residues burned on the field,N/A,N/A,N/A,N/A,PHOSPHORUS,Phosphorus,T,Tonnes,2017,0,A,Normal value,0,NULL
POL,Poland,BRN,Nutrient removal by crop residues burned on the field,N/A,N/A,N/A,N/A,PHOSPHORUS,Phosphorus,T,Tonnes,2018,0,A,Normal value,0,NULL
POL,Poland,BRN,Nutrient removal by crop residues burned on the field,N/A,N/A,N/A,N/A,PHOSPHORUS,Phosphorus,T,Tonnes,2019,0,A,Normal value,0,NULL
PRT,Portugal,BRN,Nutrient removal by crop residues burned on the field,N/A,N/A,N/A,N/A,PHOSPHORUS,Phosphorus,T,Tonnes,2012,0,A,Normal value,0,NULL
PRT,Portugal,BRN,Nutrient removal by crop residues burned on the field,N/A,N/A,N/A,N/A,PHOSPHORUS,Phosphorus,T,Tonnes,2013,0,A,Normal value,0,NULL
PRT,Portugal,BRN,Nutrient removal by crop residues burned on the field,N/A,N/A,N/A,N/A,PHOSPHORUS,Phosphorus,T,Tonnes,2014,0,A,Normal value,0,NULL
PRT,Portugal,BRN,Nutrient removal by crop residues burned on the field,N/A,N/A,N/A,N/A,PHOSPHORUS,Phosphorus,T,Tonnes,2015,0,A,Normal value,0,NULL
PRT,Portugal,BRN,Nutrient removal by crop residues burned on the field,N/A,N/A,N/A,N/A,PHOSPHORUS,Phosphorus,T,Tonnes,2016,0,A,Normal value,0,NULL
PRT,Portugal,BRN,Nutrient removal by crop residues burned on the field,N/A,N/A,N/A,N/A,PHOSPHORUS,Phosphorus,T,Tonnes,2017,0,A,Normal value,0,NULL
PRT,Portugal,BRN,Nutrient removal by crop residues burned on the field,N/A,N/A,N/A,N/A,PHOSPHORUS,Phosphorus,T,Tonnes,2018,0,A,Normal value,0,NULL
PRT,Portugal,BRN,Nutrient removal by crop residues burned on the field,N/A,N/A,N/A,N/A,PHOSPHORUS,Phosphorus,T,Tonnes,2019,0,A,Normal value,0,NULL
SVK,Slovakia,BRN,Nutrient removal by crop residues burned on the field,N/A,N/A,N/A,N/A,PHOSPHORUS,Phosphorus,T,Tonnes,2012,0,A,Normal value,0,NULL
